name,0
J1,219.40921
J2,206.93788
J3,228.77188
J4,177.2497
J5,187.00287
J6,219.66837
J7,205.65508
J8,229.31906
J9,168.45964
J10,187.89297
J11,218.70201
J12,209.25536
J13,228.64398
J14,179.25233
J15,189.02963
J16,219.4937
J17,208.98996
J18,229.48242
J19,179.16003
J20,188.01932
J21,217.70102
J22,209.08333
J23,229.16255
J24,176.03723
J25,189.80594
J26,214.66945
J27,205.73842
J28,228.96176
J29,178.5731
J30,188.59526
J31,218.93115
J32,207.0698
J33,229.19621
J34,176.54785
J35,187.34486
J36,218.01393
J37,208.87473
J38,229.18579
J39,178.55751
J40,190.0
J41,217.609
J42,207.87418
J43,228.48698
J44,178.70518
J45,188.27812
J46,217.95578
J47,207.94633
J48,229.5158
J49,177.96233
J50,187.00795
J51,218.68922
J52,207.67622
J53,227.82774
J54,177.83153
J55,189.18968
J56,217.95073
J57,209.131
J58,228.92093
J59,178.5495
J60,188.85378
J61,218.71074
J62,209.12437
J63,229.09616
J64,179.679
J65,189.0444
J66,219.55948
J67,208.3912
J68,228.98643
J69,175.25552
J70,187.61346
J71,215.11446
J72,206.45296
J73,227.57355
J74,179.23979
J75,188.91292
J76,219.63759
J77,206.2952
J78,229.32727
J79,176.42877
J80,189.66095
J81,219.1784
J82,209.10446
J83,228.27942
J84,179.39357
J85,184.65909
J86,218.86559
J87,208.77232
J88,229.55017
J89,179.7342
J90,186.27866
J91,219.47737
J92,208.1333
J93,229.3155
J94,173.13464
J95,189.50848
J96,218.84389
J97,209.00253
J98,228.02843
J99,178.69043
J100,188.59662
J101,217.94331
J102,208.8314
J103,228.58688
J104,177.69525
J105,187.57344
J106,218.0797
J107,208.89519
J108,229.01782
J109,177.43677
J110,189.27301
J111,218.4846
J112,209.3581
J113,228.5864
J114,179.62099
J115,188.09328
J116,218.24796
J117,208.73495
J118,227.90799
J119,177.37575
J120,187.5965
J121,218.55547
J122,209.48074
J123,227.54237
J124,179.25652
J125,188.28575
J126,217.57785
J127,209.23834
J128,229.01277
J129,177.8565
J130,187.69852
J131,219.38307
J132,207.63263
J133,228.3951
J134,178.41766
J135,187.26357
J136,219.3854
J137,208.403
J138,229.66042
J139,178.71945
J140,187.82892
J141,218.06322
J142,209.22566
J143,229.22246
J144,179.10419
J145,188.46233
J146,217.62569
J147,208.62057
J148,229.36963
J149,178.5924
J150,187.31236
J151,217.21848
J152,209.11116
J153,227.35046
J154,179.67055
J155,189.33176
J156,219.44614
J157,208.24619
J158,226.1415
J159,177.99506
J160,180.22388
J161,219.50641
J162,208.71873
J163,229.1831
J164,178.05559
J165,186.74269
J166,218.86249
J167,208.05965
J168,228.31863
J169,177.91805
J170,187.63026
J171,217.58136
J172,209.08252
J173,228.74475
J174,164.76035
J175,186.04247
J176,217.39597
J177,209.12735
J178,228.44919
J179,179.17433
J180,189.08463
J181,214.53291
J182,207.57358
J183,228.9422
J184,175.21318
J185,187.49797
J186,219.53302
J187,209.64095
J188,225.26456
J189,175.65605
J190,188.29118
J191,218.69241
J192,206.4654
J193,221.67268
J194,178.81572
J195,184.298
J196,214.37973
J197,209.41217
J198,227.41762
Reservoir1,220.0
Reservoir2,210.0
Reservoir3,230.0
Borewell1,180.00002
Borewell2,190.0
