,Elevation_m,Head_m,Pressure_m
J1,81.0,-3524.9697,-3605.9697
J4,84.0,-50203.348,-50287.348
J7,87.0,-255.00632,-342.00632
J8,88.0,-12337.417,-12425.417
J9,89.0,40.83121,-48.16879
J12,92.0,-343.6427,-435.6427
J13,93.0,-354.75583,-447.75583
J16,96.0,-312.5547,-408.5547
J17,97.0,-18360.455,-18457.455
J18,98.0,13.847165,-84.15283
J19,99.0,-595.26666,-694.26666
J20,100.0,-572.8423,-672.8423
J22,102.0,-2205.534,-2307.534
J23,103.0,-15201.423,-15304.423
J24,104.0,-219.84631,-323.8463
J25,80.0,-367.75485,-447.75485
J26,81.0,-1003.1647,-1084.1647
J27,82.0,-2542.8743,-2624.8743
J29,84.0,-768.2757,-852.2757
J30,85.0,-753.42365,-838.42365
J31,86.0,-255.57846,-341.57846
J34,89.0,22.979816,-66.02019
J36,91.0,-1579.7078,-1670.7078
J37,92.0,-274.45706,-366.45706
J39,94.0,-180.2089,-274.2089
J41,96.0,-383.24402,-479.24402
J43,98.0,90.66796,-7.3320365
J44,99.0,-23569.76,-23668.76
J46,101.0,-5069.5215,-5170.5215
J47,102.0,-56.195004,-158.195
J48,103.0,-291.6312,-394.6312
J49,104.0,-12451.044,-12555.044
J52,82.0,72.34248,-9.657514
J53,83.0,-5392.607,-5475.607
J54,84.0,-5382.0317,-5466.0317
J56,86.0,-5082.35,-5168.35
J58,88.0,29.370256,-58.629745
J61,91.0,-333.2348,-424.2348
J63,93.0,-442.19543,-535.19543
J65,95.0,-2301.3806,-2396.3806
J67,97.0,-29317.09,-29414.09
J68,98.0,-90.75239,-188.75238
J70,100.0,-5934.6963,-6034.6963
J71,101.0,-89278.59,-89379.59
J73,103.0,-1394.324,-1497.324
J74,104.0,-351.3794,-455.3794
J77,82.0,-22741.281,-22823.281
J79,84.0,-1134.2307,-1218.2307
J80,85.0,-6079.237,-6164.237
J81,86.0,-14913.278,-14999.278
J83,88.0,-1350.3531,-1438.3531
J84,89.0,-10972.937,-11061.937
J85,90.0,86.509285,-3.490713
J91,96.0,10.781732,-85.21827
J92,97.0,-4617.7725,-4714.7725
J93,98.0,-21.35314,-119.35314
J94,99.0,-125504.21,-125603.21
J96,101.0,20.68541,-80.31459
J98,103.0,-292.7886,-395.7886
J101,81.0,-25.27785,-106.27785
J102,82.0,-7089.6885,-7171.6885
J103,83.0,-8597.693,-8680.693
J108,88.0,-491.18668,-579.1867
J112,92.0,-1507.9167,-1599.9167
J113,93.0,-760.96185,-853.96185
J114,94.0,-6811.579,-6905.579
J117,97.0,-23026.621,-23123.621
J118,98.0,-1668.4292,-1766.4292
J120,100.0,-721.81445,-821.81445
J122,102.0,85.069115,-16.930885
J123,103.0,51.082516,-51.917484
J124,104.0,59.488365,-44.511635
J125,80.0,-1342.9327,-1422.9327
J127,82.0,55.91071,-26.089293
J129,84.0,-39099.41,-39183.41
J132,87.0,-5889.0415,-5976.0415
J136,91.0,-263.32193,-354.32193
J140,95.0,78.605934,-16.394064
J142,97.0,-150.81883,-247.81883
J145,100.0,-8.423329,-108.42333
J146,101.0,-14531.466,-14632.466
J147,102.0,23.890656,-78.109344
J149,104.0,-756.2015,-860.2015
J150,80.0,-441.79846,-521.79846
J152,82.0,-16142.784,-16224.784
J153,83.0,-106.89927,-189.89928
J154,84.0,-712.5531,-796.5531
J155,85.0,-15.926387,-100.926384
J156,86.0,72.941635,-13.058369
J157,87.0,-247.86331,-334.8633
J160,90.0,-5988.2617,-6078.2617
J161,91.0,-1132.292,-1223.292
J162,92.0,10.826166,-81.173836
J164,94.0,-11875.508,-11969.508
J165,95.0,29.68139,-65.31861
J166,96.0,-2767.2666,-2863.2666
J167,97.0,-1539.5441,-1636.5441
J169,99.0,-315.06418,-414.06418
J171,101.0,-389.06924,-490.06924
J172,102.0,-71.490616,-173.49062
J173,103.0,-141.7208,-244.7208
J174,104.0,-9405.754,-9509.754
J176,81.0,-104.95074,-185.95074
J177,82.0,-423.6883,-505.6883
J180,85.0,-68.042336,-153.04233
J182,87.0,-88.53874,-175.53874
J183,88.0,-19233.512,-19321.512
J184,89.0,-12030.33,-12119.33
J185,90.0,-92.09903,-182.09903
J187,92.0,46.281406,-45.718594
J188,93.0,-2838.1914,-2931.1914
J189,94.0,92.69417,-1.3058347
J190,95.0,-1338.2825,-1433.2825
J192,97.0,46.46809,-50.53191
J194,99.0,39.77073,-59.22927
J195,100.0,-369.75787,-469.75787
J196,101.0,-14149.509,-14250.509
J197,102.0,-245.58638,-347.5864
Reservoir1,,121.0,3.4179686e-07
Reservoir2,,122.00001,4.4189455e-06
Reservoir3,,123.0,-8.0566406e-07
Borewell1,,124.0,3.2714843e-06
Borewell2,,125.0,-1.953125e-06
